ConceptID,ConceptLabel,Dependencies,TaxonomyID
1,Generative AI,,FOUND
2,Large Language Model,1,FOUND
3,Foundation Model,2,FOUND
4,Transformer Architecture,2,FOUND
5,Autoregressive Generation,4,FOUND
6,Token,2,FOUND
7,Input Token,6,FOUND
8,Output Token,6|5,FOUND
9,Cached Token,7,FOUND
10,Reasoning Token,8|5,FOUND
11,Token Count,6|12,FOUND
12,Tokenizer,6,FOUND
13,Byte Pair Encoding,12,FOUND
14,SentencePiece,12,FOUND
15,Vocabulary Size,12,FOUND
16,Context Window,6|2,FOUND
17,Context Length,16,FOUND
18,Prompt,7,FOUND
19,System Prompt,18,FOUND
20,User Message,18|22,FOUND
21,Assistant Message,22,FOUND
22,Conversation Turn,18,FOUND
23,Multi-Turn Dialogue,22,FOUND
24,Streaming Response,8,FOUND
25,Stop Sequence,8,FOUND
26,Max Tokens Parameter,8,FOUND
27,Temperature,5,FOUND
28,Top P Sampling,5,FOUND
29,Logprobs,8,FOUND
30,Model Family,2,FOUND
31,Subword Tokenization,12,FOUND
32,BPE Merge Rules,13,FOUND
33,Tiktoken Library,12|101,FOUND
34,Claude Tokenizer,12|76,FOUND
35,Gemini Tokenizer,12|126,FOUND
36,Token-To-Char Ratio,11,FOUND
37,Whitespace Handling,12,FOUND
38,Unicode Normalization,12,FOUND
39,Special Tokens,6|12,FOUND
40,End-Of-Sequence Token,39,FOUND
41,Beginning-Of-Sequence Token,39,FOUND
42,Padding Token,39,FOUND
43,Token Boundary,12|31,FOUND
44,Pre-Tokenization,12,FOUND
45,Cross-Vendor Tokenizer Drift,33|34|35|11,FOUND
46,Token Counting API,11|12,FOUND
47,Local Token Estimation,11|12,FOUND
48,Token Count Caching,47,FOUND
49,Code Tokenization,12|31,FOUND
50,Multilingual Tokenization,12|38,FOUND
51,Per-Million-Token Price,6,ECON
52,Input Token Price,51|7,ECON
53,Output Token Price,51|8,ECON
54,Cached Input Price,51|9,ECON
55,Output Premium,52|53,ECON
56,Unit Economics,51,ECON
57,Cost Per Request,56|11,ECON
58,Cost Per Feature,57,ECON
59,Cost Per User,57,ECON
60,Cost Per Outcome,57,ECON
61,Cost Attribution,58|59|60,ECON
62,Token Budget,6|56,ECON
63,Monthly Token Spend,56,ECON
64,Forecasting Token Cost,63,ECON
65,Cost-Quality Tradeoff,56,ECON
66,Cost-Latency Tradeoff,56,ECON
67,Pareto Frontier,65|66,ECON
68,Pricing Tier,51,ECON
69,Volume Discount,68,ECON
70,Batch Discount,68|421,ECON
71,Enterprise Pricing,68,ECON
72,Free Tier Limit,68,ECON
73,Rate Limit,56,ECON
74,Quota Management,73,ECON
75,Burn Rate,63|74,ECON
76,Anthropic API,2,ANTH
77,Claude Messages API,76,ANTH
